Date,Requester,Artist,Album,,Riley,Sky,Alex,Harry,Jose,Thomas,Manny,Drew,Average,Median,,Favorite,Riley,Sky,Alex,Harry,Jose,Thomas,Manny,Drew,,Worst,Riley,Sky,Alex,Harry,Jose,Thomas,Manny,Drew,,
,Riley,The Strokes,The New Abnormal,,94,93,94,91,92,93,88,93,92.25,93.00,,,Why Are Sundays So Depressing,Ode To The Mets,Ode To The Mets,The Adults Are Talking,The Adults Are Talking,Selfless,,Selfless,,,Bad Decisions,Bad Decisions,Bad Decisions,At The Door,Not The Same Anymore,At The Door,,At the Door,,
,Sky,Spoon,Lucifer On The Sofa,,86,87,83,86,70,75,,82,81.29,83.00,,,The Devil and Mr. Jones,Feels Alright,The Hardest Cut,The Hardest Cut,Satellite,Feels Alright,,The Devil and Mr. Jones,,,Astral Jacket,Wild,On The Radio,Astral Jacket,Wild,Astral Jacket,,Lucifer On The Sofa,,
,Alex,Led Zepplin,Houses of The Holy,,75,77,75,64,65,62,87,85,73.75,75.00,,,The Rain Song,Over The Hills and Far Away,Over The Hills and Far Away,,The Rain Song,The Rain Song,D'yer Mak'er,Dancing Days,,,The Crunge,No Quarter,The Crunge,,The Crunge,The Crunge,,,,
,Harry,Kaiser Chiefs,"Yours Truly, Angry Mob",,81,81,71,92,72,85,,52,76.29,81.00,,,Boxing Champ,Ruby,Ruby,Highroyds,Heat Dies Down,Learnt My Lesson Well,,The Angry Mob,,,Thank You Very Much,Everything is average now a days,Try Your Best,Try Your Best,Boxing Champ,My Kind of Guy,,Try Your Best,,
,Riley,Declan McKenna,What Do You Think About the Car?,,84,78,75,70,95,85,,76,80.43,78.00,,,Brazil,Brazil,Brazil,,Brazil,Listen to Your Friends,,I am Everyone Else,,,Mind,Mind,The Kids Don't Wanna Come Home,,I Am Everyone Else,Paracetamol,,Brazil,,
,Sky,Fontaines D.C.,Skinty Fia,,88,94,60,60,55,35,62,,64.86,60.00,,,Jackie Down The Line,Bloomsday,Jackie Down The Line,I Love You,The Couple Across The Way,Jackie Down The Line,Jackie Down The Line,,,,In ar gCroithe go deo,Skinty Fia,In ar gCroithe go deo,In ar gCroithe go deo,In ar gCroithe go deo,Across The Way,In ar gCroithe go deo,,,
,Alex,Metallica,�And Justice for All,,54,43,85,73,80,60,75,93,70.38,74.00,,,One,One,One,One,One,To Live is To Die,The Frayed Ends of Sanity,And Justice for All,,,The Shortest Straw,The Shortest Straw,Dyers Eve,The Shortest Straw,The Shortest Straw,Eye of The Beholder,To Live Is To Die,To Live is To Die,,
,Riley,Sublime,Sublime,,84,,83,79,67,76,88,89,80.86,83.00,,,Seed,,Seed,Santeria,Santeria,Santeria,What I got - Reprise,Seed,,,Paddle Out,,Paddle Out,Paddle Out,The Ballad Of Johnny Butt,Burritos,Burritos,Pawn Shop,,
,Harry,Supertamp,Breakfast in America,,83,,81,84,80,83,78,,81.50,82.00,,,Oh Darling,,Goodbye Stranger,Goodbye Stranger,Goodbye Stranger,Goodbye Stranger,Breakfast In America,,,,Child of Vision,,Child of Vision,Casual Conversation,Child of Vision,Child of Vision,Lord Is It Mine,,,
,Alex,Red Hot Chilli Peppers,Californication,,75,,72,42,70,65,65,,64.83,67.50,,,Otherside,,Scar Tissue,Californication,Scar Tissue,Otherside,Californication,,,,Get on Top,,Parallel Universe,,Get on Top,Road Trippin',Road Trippin',,,
,Jose,Feng Suave,Feng Suave,,86,,84,72,94,80,82,62,80.00,82.00,,,Sink into the Floor,,Sink into the Floor,Sink into the Floor,Sink into the Floor,Noche Oscura,,Sink Into the Floor,,,By the Poolside,,By the Poolside,By the Poolside,By the Poolside,By the Poolside,,By the Poolside,,
7/7/24,Thomas,Frank Ocean,Channel Orange,,88,88,83,75,29,82,76,84,75.63,82.50,,,Pink Matter,Pink Matter,Super Rich Kids,Pink Matter,Thinkin Bout You,Bad Religion,Thinking Bout You,Pyramids,,,Pilot Jones,,Sierra Leon,Start/End,Pilot Jones,Pilot Jones,,Monk,,
7/14/24,Sky,Paul & Linda McCartney,Ram,,88,93,89,92,65,70,79,,82.29,88.00,,,3 Legs,Uncle Albert,Heart of The Country,Another Day,Monkbery Moon Delight,The Back Seat Of My Car,Ram On,,,,Rode All Night,,Smile Away,Smile Away,Smile Away,Smile Away,,,,
7/21/24,Alex,N.W.A.,Straight Outta Compton,,76,,87,80,70,78,92,,80.50,79.00,,,Gangsta Gansta,,Fuck Tha Police,,Fuck Tha Police,Straight Out of Compton,Gangsta Gangsta,,,,I aint Tha 1,,8 Ball - Remix,,8 Ball - Remix,I aint Tha 1,8 Ball - Remix,,,
7/27/24,Harry,Micheal Jackson,Off The Wall,,83,,81,100,73,92,91,90,87.14,90.00,,,Don't Stop 'Til You Get Enough,,Don't Stop 'Til You Get Enough,All(Off The Wall),Don't Stop 'Til You Get Enough,Rock with You,Rock with You,Rock With You,,,Burn This Disco Out,,I Can't Help It,,She's Out of My Life,She's Out of My Life,She's Out of My Life,She's Out of My Life,,
8/3/24,Jose,Blxst,No Love Lost,,79,,64,32,96,62,68,45,63.71,64.00,,,No Love Lost,,Hurt,,Hurt,Overrated,Be Alone,,,,Overrated,,Gang Slide,Gang Slide,Searching,Gang Slide,Overrated,Gang Slide,,
